incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,incident_url,source_url
3452118,"April 19, 2026",Louisiana,Shreveport,355 W 79th St,8,2,1,0,0,https://www.gunviolencearchive.org/incident/3452118,https://www.wlbt.com/2026/04/19/eight-shreveport-children-dead-after-what-began-domestic-dispute-police-say/
3452000,"April 19, 2026",Iowa,Iowa City,100 block of E College St,0,5,0,0,0,https://www.gunviolencearchive.org/incident/3452000,https://www.westernslopenow.com/news/national-news/ap-3-students-shot-along-nightlife-district-near-the-university-of-iowa-authorities-say/
3451921,"April 18, 2026",California,Sacramento,2000 Howe Ave,0,4,0,0,3,https://www.gunviolencearchive.org/incident/3451921,https://www.abc10.com/article/news/crime/multiple-victims-found-with-gunshot-wounds-at-home-depot/103-a97a8af3-f568-4a77-965a-ee57cb97e2a9?ref=exit-recirc
3451726,"April 18, 2026",Arizona,Tolleson,2909 S 95th Ln,0,5,0,0,0,https://www.gunviolencearchive.org/incident/3451726,https://www.abc15.com/news/region-phoenix-metro/west-phoenix/5-people-including-two-juveniles-hurt-in-shooting-at-party-near-95th-avenue-and-lower-buckeye-road
3452058,"April 18, 2026",Virginia,Danville,700 block of Arlington Rd,1,4,0,0,0,https://www.gunviolencearchive.org/incident/3452058,https://www.wdbj7.com/2026/04/19/one-dead-several-injured-danville-shooting/
3452043,"April 18, 2026",New Jersey,Paterson,E 29th St and 10th Ave,1,3,0,0,0,https://www.gunviolencearchive.org/incident/3452043,https://www.cbsnews.com/newyork/news/paterson-new-jersey-multiple-shooting/
3451743,"April 18, 2026",Arizona,Litchfield Park,13336 W Stella Ln,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3451743,https://www.abc15.com/news/local-news/mcso-multiple-people-injured-after-house-party-shooting-in-litchfield-park
3451234,"April 17, 2026",Illinois,Chicago,4017 W Maypole Ave,3,1,0,0,0,https://www.gunviolencearchive.org/incident/3451234,https://abc7chicago.com/post/rickia-williams-2-others-killed-quadruple-west-garfield-park-chicago-shooting-outside-barbershop-pulaski-maypole/18912485/
3449700,"April 14, 2026",Missouri,Saint Louis,3016 Dr Martin Luther King Dr,1,3,0,0,0,https://www.gunviolencearchive.org/incident/3449700,https://www.ksdk.com/article/news/crime/police-responding-to-shooting-with-multiple-victims-in-north-st-louis/63-124d6ca5-2c48-45b1-9d5f-b14ba0cc2ca8
3447486,"April 12, 2026",California,Rosemead,Del Mar Ave and Garvey Ave,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3447486,https://www.sbsun.com/2026/04/12/4-people-shot-including-17-year-old-boy-at-street-takeover-in-rosemead/
3447534,"April 11, 2026",Mississippi,Belzoni,310 Silver City Rd,1,4,0,0,4,https://www.gunviolencearchive.org/incident/3447534,https://www.supertalk.fm/4-arrested-after-mass-shooting-that-left-delta-state-student-dead/
3447256,"April 11, 2026",New Jersey,Union,2319 US-22,1,6,0,0,0,https://www.gunviolencearchive.org/incident/3447256,https://dailyvoice.com/nj/paterson/id-of-chick-fil-a-customer-killed-in-mass-nj-shooting-released/
3448047,"April 11, 2026",Indiana,Fort Wayne,3200 block of Abbott St,1,4,0,0,0,https://www.gunviolencearchive.org/incident/3448047,https://www.wfft.com/news/woman-dies-after-shooting-on-abbott-street-in-fort-wayne/article_c2515680-2be3-4708-a330-c71db7378eb6.html
3447590,"April 11, 2026",Virginia,Virginia Beach,1400 block of Atlantic Ave,0,7,0,1,3,https://www.gunviolencearchive.org/incident/3447590,https://www.dailypress.com/2026/04/17/virginia-beach-police-third-arrest-oceanfront-shooting/
3447705,"April 11, 2026",Texas,Fort Worth,5200 block of Shackleford St,0,5,0,0,1,https://www.gunviolencearchive.org/incident/3447705,https://www.dallasnews.com/news/crime/article/argument-led-mass-shooting-gender-reveal-party-22204292.php
3444305,"April 6, 2026",Mississippi,Monticello,229 F E Sellers Hwy,0,4,0,0,2,https://www.gunviolencearchive.org/incident/3444305,https://www.supertalk.fm/4-injured-in-shooting-at-sonic-in-monticello/
3443402,"April 5, 2026",Georgia,Ocilla,E 10th St and N McKinley St,1,3,0,0,1,https://www.gunviolencearchive.org/incident/3443402,https://gbi.georgia.gov/press-releases/2026-04-16/gbi-investigates-deadly-shooting-ocilla-irwin-county-georgia
3443936,"April 5, 2026",Georgia,Atlanta,984 Sparks St SW,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3443936,https://www.atlantanewsfirst.com/2026/04/06/large-police-presence-seen-atlantas-oakland-city-neighborhood/
3442698,"April 3, 2026",Idaho,Pocatello (Chubbuck),Batiste Rd and Tank Farm Rd,2,2,1,0,0,https://www.gunviolencearchive.org/incident/3442698,https://www.eastidahonews.com/2026/04/coroner-identifies-two-victims-of-tank-farm-road-shootings/
3441950,"April 1, 2026",California,Los Angeles,4700 block of S Broadway,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3441950,https://x.com/LAPDPIO/status/2039893572577792419/photo/1
3440883,"March 31, 2026",Louisiana,Winnfield,1714 Orange St,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3440883,https://involvedinitall.com/winnfield-civic-center-shooting-injures-four-teens-during-late-night-event/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExcWc4d3NlaHhYdVl2RjVMaXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR4xmODNy6rOavsrVslNDlWNoC25hRNUsdkg1NbusAimpwIdRrnhcw4jmc
3440032,"March 30, 2026",Pennsylvania,Philadelphia,S 60th St and Delancey St,2,3,0,0,0,https://www.gunviolencearchive.org/incident/3440032,https://6abc.com/post/west-philadelphia-shooting-leaves-2-dead-3-injured-60th-delancy/18812329/
3439441,"March 29, 2026",Idaho,Meridian,E Pine Ave and E Reem Dr,0,4,0,0,2,https://www.gunviolencearchive.org/incident/3439441,https://idahonews.com/news/local/two-in-custody-after-four-men-wounded-in-meridian-shooting
3439066,"March 29, 2026",Florida,Tallahassee,500 block of W Osceola St,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3439066,https://www.wctv.tv/2026/03/29/four-people-injured-shooting-famu-campus-another-injured-separate-shooting-near-fsu/
3439025,"March 29, 2026",Texas,Dickinson,2403 24th St,0,7,0,0,1,https://www.gunviolencearchive.org/incident/3439025,https://www.fox26houston.com/news/dickinson-shooting-suspect-arrested-7-people-shot-april-2
